Concept,CWT_2005_EML,CWT_2007_EML,CWT_2011_EML,CWT_2015_EML,CWT_2016_EML,CWT_2017_EML,CWT_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,2.13,2.12,2.0,2.0,2.03,2.0,2.0
Metadata Contact,0.01,0.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.01,0.0,1.17,1.24,1.35,3.54,3.0
Publisher,0.01,0.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.01,0.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,2.0,2.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,5.36,2.83,12.67,20.8,15.94,21.23,17.64
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,0.83,0.56,0.23,0.27
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.01,0.0,1.0,0.98,0.94,1.0,1.0
Project Description,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Entity Type Definition,0.49,0.0,0.67,1.38,2.15,2.0,2.18
Attribute Definition,13.61,3.71,6.33,21.53,55.21,49.0,54.73
Resource Access Constraints,0.01,0.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.93,0.29,0.67,1.38,2.15,2.0,2.18
Attribute List,0.93,0.29,0.67,1.38,2.15,2.0,2.18
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.14,0.0,0.67,1.31,2.06,2.0,2.18
