XPath,5030.1.xml,5030.2.xml,5030.6.xml
/eml:eml/@packageId,1.0,1.0,1.0
/eml:eml/@scope,1.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.0,1.0,1.0
/eml:eml/access/@order,0.0,1.0,1.0
/eml:eml/access/@scope,0.0,1.0,1.0
/eml:eml/access/allow/permission,0.0,2.0,2.0
/eml:eml/access/allow/principal,0.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,0.0,1.0,1.0
/eml:eml/dataset/@scope,1.0,0.0,0.0
/eml:eml/dataset/abstract/para,0.0,1.0,1.0
/eml:eml/dataset/abstract/section/para,1.0,0.0,0.0
/eml:eml/dataset/access/@authSystem,1.0,0.0,0.0
/eml:eml/dataset/access/@order,1.0,0.0,0.0
/eml:eml/dataset/access/@scope,1.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,2.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,2.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/@scope,1.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/@scope,1.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/city,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/country,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/postalCode,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/electronicMailAddress,1.0,3.0,3.0
/eml:eml/dataset/associatedParty/individualName/givenName,2.0,4.0,4.0
/eml:eml/dataset/associatedParty/individualName/surName,1.0,2.0,2.0
/eml:eml/dataset/associatedParty/phone,1.0,2.0,2.0
/eml:eml/dataset/associatedParty/phone/@phonetype,1.0,0.0,0.0
/eml:eml/dataset/associatedParty/role,1.0,2.0,2.0
/eml:eml/dataset/contact/@scope,1.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,1.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,1.0,4.0,4.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,2.0,2.0,2.0
/eml:eml/dataset/contact/individualName/givenName,2.0,2.0,2.0
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,0.0,1.0,1.0
/eml:eml/dataset/contact/phone,1.0,2.0,2.0
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,0.0,1.0,1.0
/eml:eml/dataset/coverage/@scope,1.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,1.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,0.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/@scope,1.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0
/eml:eml/dataset/creator/@scope,1.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,1.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,1.0,0.0,1.0
/eml:eml/dataset/creator/address/city,1.0,0.0,1.0
/eml:eml/dataset/creator/address/country,1.0,0.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,1.0,0.0,4.0
/eml:eml/dataset/creator/address/postalCode,1.0,0.0,2.0
/eml:eml/dataset/creator/electronicMailAddress,2.0,0.0,3.0
/eml:eml/dataset/creator/individualName/givenName,2.0,0.0,2.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0
/eml:eml/dataset/creator/onlineUrl,0.0,0.0,1.0
/eml:eml/dataset/creator/organizationName,0.0,0.0,1.0
/eml:eml/dataset/creator/phone,1.0,0.0,2.0
/eml:eml/dataset/creator/phone/@phonetype,1.0,0.0,1.0
/eml:eml/dataset/distribution/@scope,1.0,0.0,0.0
/eml:eml/dataset/distribution/online/url,1.0,1.0,1.0
/eml:eml/dataset/distribution/online/url/@function,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights/para,1.0,0.0,6.0
/eml:eml/dataset/intellectualRights/para/itemizedlist/listitem/para,0.0,0.0,5.0
/eml:eml/dataset/intellectualRights/section/para,0.0,4.0,0.0
