Concept,LUQ_2005_EML,LUQ_2009_EML,LUQ_2012_EML,LUQ_2015_EML,LUQ_2016_EML,LUQ_2017_EML,LUQ_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.14,1.12,1.0,1.0,1.0
Metadata Contact,1.0,1.0,0.0,0.7,0.62,0.33,0.0
Contributor Name,0.0,0.0,2.0,2.7,3.0,2.87,1.0
Publisher,1.0,1.0,0.0,0.62,0.12,0.0,0.0
Publication Date,0.0,0.0,0.0,0.42,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.29,2.22,2.38,1.24,1.5
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,15.43,11.0,0.0,21.24,15.62,13.31,6.5
Resource Distribution,1.0,1.0,0.57,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,0.14,3.14,1.75,4.29,2.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.0,0.0,1.0,1.14,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,0.0,0.97,1.0,1.0,1.0
Project Description,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,3.67,3.6,0.86,4.11,2.62,2.75,4.5
Attribute Definition,52.05,38.2,0.86,65.62,33.88,21.51,78.5
Resource Access Constraints,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Resource Format,3.67,3.6,0.86,4.11,2.62,2.75,4.5
Attribute List,3.67,3.6,0.86,4.11,2.62,2.75,4.5
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.01,0.0,0.0,0.0
